id,city,name,lat,lng,pm10,pm10ss,AQI,pm25,pm25ss,temp,tempss,humid,press,error,status,date,hour
2,Алматы,Альфараби - Маркова,43.224,76.938,,,,,,,,,,0,active,2023-12-23 00:53:07,now
4,Алматы,Парк Горького,43.265,76.973,,,,,,,,,,0,active,2021-05-20 14:36:06,now
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,31.8,87.61,84.0,27.6,79.23,,,,,0,active,2024-12-13 01:59:05,now
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,31.8,87.61,159.0,70.7,79.23,,,,,0,active,2024-12-13 01:59:05,23
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,31.8,87.61,192.0,133.95,79.23,,,,,0,active,2024-12-13 01:59:05,22
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,31.8,87.61,215.0,164.4,79.23,,,,,0,active,2024-12-13 01:59:05,21
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,31.8,87.61,199.0,147.87,79.23,,,,,0,active,2024-12-13 01:59:05,20
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,31.8,87.61,182.0,114.83,79.23,,,,,0,active,2024-12-13 01:59:05,19
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,31.8,87.61,205.0,154.83,79.23,,,,,0,active,2024-12-13 01:59:05,18
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,31.8,87.61,180.0,112.25,79.23,,,,,0,active,2024-12-13 01:59:05,17
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,31.8,87.61,182.0,115.25,79.23,,,,,0,active,2024-12-13 01:59:05,16
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,31.8,87.61,173.0,98.35,79.23,,,,,0,active,2024-12-13 01:59:05,15
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,31.8,87.61,173.0,98.68,79.23,,,,,0,active,2024-12-13 01:59:05,14
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,31.8,87.61,162.0,77.45,79.23,,,,,0,active,2024-12-13 01:59:05,13
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,31.8,87.61,156.0,64.5,79.23,,,,,0,active,2024-12-13 01:59:05,12
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,31.8,87.61,163.0,78.13,79.23,,,,,0,active,2024-12-13 01:59:05,11
