id,city,name,lat,lng,pm10,pm10ss,AQI,pm25,pm25ss,temp,tempss,humid,press,error,status,date,hour
2,Алматы,Альфараби - Маркова,43.224,76.938,,,,,,,,,,0,active,2023-12-23 00:53:07,now
4,Алматы,Парк Горького,43.265,76.973,,,,,,,,,,0,active,2021-05-20 14:36:06,now
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,71.13,96.75,155.0,63.0,89.17,,,,,0,active,2024-12-14 01:59:05,now
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,71.13,96.75,174.0,100.2,89.17,,,,,0,active,2024-12-14 01:59:05,23
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,71.13,96.75,187.0,124.73,89.17,,,,,0,active,2024-12-14 01:59:05,22
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,71.13,96.75,156.0,65.37,89.17,,,,,0,active,2024-12-14 01:59:05,21
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,71.13,96.75,163.0,78.75,89.17,,,,,0,active,2024-12-14 01:59:05,20
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,71.13,96.75,180.0,112.51,89.17,,,,,0,active,2024-12-14 01:59:05,19
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,71.13,96.75,211.0,160.3,89.17,,,,,0,active,2024-12-14 01:59:05,18
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,71.13,96.75,204.0,153.77,89.17,,,,,0,active,2024-12-14 01:59:05,17
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,71.13,96.75,182.0,116.37,89.17,,,,,0,active,2024-12-14 01:59:05,16
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,71.13,96.75,183.0,116.85,89.17,,,,,0,active,2024-12-14 01:59:05,15
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,71.13,96.75,215.0,164.98,89.17,,,,,0,active,2024-12-14 01:59:05,14
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,71.13,96.75,205.0,154.7,89.17,,,,,0,active,2024-12-14 01:59:05,13
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,71.13,96.75,195.0,140.58,89.17,,,,,0,active,2024-12-14 01:59:05,12
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,71.13,96.75,188.0,126.55,89.17,,,,,0,active,2024-12-14 01:59:05,11
