id,city,name,lat,lng,pm10,pm10ss,AQI,pm25,pm25ss,temp,tempss,humid,press,error,status,date,hour
2,Алматы,Альфараби - Маркова,43.224,76.938,,,,,,,,,,0,active,2023-12-23 00:53:07,now
4,Алматы,Парк Горького,43.265,76.973,,,,,,,,,,0,active,2021-05-20 14:36:06,now
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,63.53,60.83,152.0,57.33,53.18,,,,,0,active,2024-12-12 01:59:03,now
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,63.53,60.83,155.0,62.85,53.18,,,,,0,active,2024-12-12 01:59:03,23
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,63.53,60.83,157.0,66.97,53.18,,,,,0,active,2024-12-12 01:59:03,22
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,63.53,60.83,147.0,54.25,53.18,,,,,0,active,2024-12-12 01:59:03,21
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,63.53,60.83,153.0,58.5,53.18,,,,,0,active,2024-12-12 01:59:03,20
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,63.53,60.83,156.0,65.5,53.18,,,,,0,active,2024-12-12 01:59:03,19
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,63.53,60.83,161.0,74.22,53.18,,,,,0,active,2024-12-12 01:59:03,18
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,63.53,60.83,164.0,81.28,53.18,,,,,0,active,2024-12-12 01:59:03,17
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,63.53,60.83,155.0,62.58,53.18,,,,,0,active,2024-12-12 01:59:03,16
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,63.53,60.83,152.0,57.78,53.18,,,,,0,active,2024-12-12 01:59:03,15
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,63.53,60.83,156.0,66.0,53.18,,,,,0,active,2024-12-12 01:59:03,14
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,63.53,60.83,155.0,62.88,53.18,,,,,0,active,2024-12-12 01:59:03,13
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,63.53,60.83,156.0,64.48,53.18,,,,,0,active,2024-12-12 01:59:03,12
6,Алматы,Розыбакиева - Байкадамова,43.214,76.893,63.53,60.83,154.0,61.25,53.18,,,,,0,active,2024-12-12 01:59:03,11
